S,E,I,R,D,Isum,Rsum
5.84668e+07,101,409,30767,1881,33138,30767
5.84668e+07,99,404,30790,1883,33156,30790
5.84668e+07,98,399,30813,1884,33174,30813
5.84668e+07,97,395,30835,1886,33192,30835
5.84668e+07,96,390,30857,1887,33210,30857
5.84668e+07,95,386,30878,1888,33227,30878
5.84667e+07,94,381,30900,1890,33244,30900
5.84667e+07,93,377,30921,1891,33261,30921
5.84667e+07,92,372,30942,1892,33278,30942
5.84667e+07,91,368,30963,1893,33294,30963
5.84667e+07,89,364,30983,1895,33311,30983
5.84667e+07,88,359,31003,1896,33327,31003
5.84666e+07,87,355,31023,1897,33343,31023
5.84666e+07,86,351,31043,1898,33359,31043
5.84666e+07,85,347,31063,1900,33374,31063
5.84666e+07,84,343,31082,1901,33390,31082
5.84666e+07,83,339,31101,1902,33405,31101
5.84666e+07,82,335,31120,1903,33420,31120
5.84665e+07,81,331,31138,1904,33435,31138
5.84665e+07,81,327,31157,1905,33450,31157
5.84665e+07,80,323,31175,1906,33464,31175
5.84665e+07,79,319,31193,1907,33479,31193
5.84665e+07,78,316,31211,1909,33493,31211
5.84665e+07,77,312,31228,1910,33507,31228
5.84665e+07,76,308,31246,1911,33521,31246
5.84664e+07,75,305,31263,1912,33534,31263
5.84664e+07,74,301,31280,1913,33548,31280
5.84664e+07,73,298,31296,1914,33561,31296
5.84664e+07,72,294,31313,1915,33575,31313
5.84664e+07,72,291,31329,1916,33588,31329
5.84664e+07,71,287,31346,1917,33601,31346
5.84664e+07,70,284,31362,1918,33613,31362
5.84664e+07,69,281,31377,1919,33626,31377
5.84663e+07,68,278,31393,1920,33638,31393
5.84663e+07,68,274,31408,1921,33651,31408
5.84663e+07,67,271,31424,1922,33663,31424
5.84663e+07,66,268,31439,1923,33675,31439
5.84663e+07,65,265,31454,1923,33687,31454
5.84663e+07,64,262,31468,1924,33699,31468
5.84663e+07,64,259,31483,1925,33710,31483
5.84663e+07,63,256,31497,1926,33722,31497
