S,I,R
2.05451e+06,100918,2.84457e+06
2.0459e+06,98468,2.85564e+06
2.03317e+06,94778,2.87206e+06
2.02279e+06,91687,2.88552e+06
2.01439e+06,89129,2.89648e+06
2.01393e+06,88987,2.89708e+06
2.00428e+06,85993,2.90972e+06
1.98705e+06,89613,2.92334e+06
1.96728e+06,93630,2.93909e+06
1.94798e+06,97397,2.95463e+06
1.92906e+06,100939,2.97001e+06
1.90617e+06,105040,2.98879e+06
1.8883e+06,108067,3.00363e+06
1.86618e+06,111640,3.02218e+06
1.85142e+06,105531,3.04305e+06
1.84204e+06,101540,3.05642e+06
1.83534e+06,98644,3.06601e+06
1.83321e+06,97708,3.06908e+06
1.8225e+06,93003,3.08449e+06
1.81165e+06,88144,3.1002e+06
1.81077e+06,87740,3.10149e+06
1.79838e+06,89295,3.11232e+06
1.7936e+06,89867,3.11653e+06
1.78143e+06,91294,3.12728e+06
1.77696e+06,91792,3.13125e+06
1.76324e+06,93286,3.14347e+06
1.75699e+06,93924,3.14909e+06
1.75048e+06,94567,3.15496e+06
1.74588e+06,95006,3.15911e+06
1.7444e+06,95144,3.16045e+06
1.7318e+06,96308,3.1719e+06
1.72732e+06,96692,3.17599e+06
1.71427e+06,97780,3.18795e+06
1.704e+06,98564,3.19744e+06
1.68442e+06,99951,3.21563e+06
1.67876e+06,100290,3.22095e+06
1.66773e+06,100917,3.23136e+06
1.6532e+06,101652,3.24515e+06
1.65092e+06,101749,3.24734e+06
1.64141e+06,102138,3.25645e+06
1.62949e+06,102560,3.26795e+06
1.61055e+06,103096,3.28635e+06
1.60516e+06,99654,3.29518e+06
1.60129e+06,97160,3.30155e+06
1.59179e+06,91007,3.3172e+06
1.58726e+06,88025,3.32471e+06
1.58723e+06,88004,3.32477e+06
1.58376e+06,85705,3.33054e+06
1.57791e+06,81809,3.34028e+06
1.565e+06,81764,3.35323e+06
1.56141e+06,81722,3.35687e+06
1.55107e+06,81577,3.36736e+06
1.54374e+06,81424,3.37484e+06
1.53647e+06,81238,3.3823e+06
1.5319e+06,81099,3.387e+06
1.52128e+06,80742,3.39798e+06
1.51859e+06,80632,3.40078e+06
1.50945e+06,80243,3.4103e+06
1.50886e+06,80214,3.41093e+06
1.50285e+06,79917,3.41724e+06
1.49282e+06,79380,3.4278e+06
1.48323e+06,78799,3.43797e+06
1.47429e+06,78195,3.44751e+06
1.46949e+06,77840,3.45267e+06
1.46695e+06,77644,3.4554e+06
1.45863e+06,76983,3.46439e+06
1.45018e+06,76261,3.47356e+06
1.44048e+06,75370,3.48415e+06
1.4362e+06,74946,3.48885e+06
1.42664e+06,73966,3.4994e+06
1.42408e+06,73685,3.50224e+06
1.41248e+06,72388,3.51513e+06
1.40408e+06,71372,3.52455e+06
1.39623e+06,70369,3.5334e+06
1.39319e+06,69963,3.53684e+06
1.38696e+06,69113,3.54392e+06
1.38596e+06,68970,3.54507e+06
1.38297e+06,68545,3.54849e+06
1.37299e+06,67099,3.55991e+06
1.3654e+06,65936,3.56866e+06
1.36439e+06,65775,3.56984e+06
1.36319e+06,65583,3.57122e+06
1.35931e+06,64956,3.57573e+06
1.3532e+06,63949,3.58285e+06
1.34704e+06,62901,3.59006e+06
1.34026e+06,61713,3.59802e+06
1.3374e+06,61193,3.60141e+06
1.32978e+06,59792,3.61043e+06
1.32703e+06,59267,3.6137e+06
1.32392e+06,58666,3.61742e+06
1.32215e+06,58320,3.61953e+06
1.31304e+06,56520,3.63044e+06
1.31301e+06,56514,3.63048e+06
1.30564e+06,54997,3.63936e+06
1.30278e+06,54390,3.64282e+06
1.30118e+06,54045,3.64477e+06
1.2975e+06,53246,3.64925e+06
1.28955e+06,51495,3.65895e+06
1.28223e+06,49827,3.66794e+06
1.27637e+06,48450,3.67518e+06
1.27118e+06,47203,3.68162e+06
1.27031e+06,46988,3.6827e+06
1.2654e+06,45778,3.68883e+06
1.26273e+06,45108,3.69216e+06
1.25744e+06,43764,3.6988e+06
1.24809e+06,45264,3.70664e+06
1.23878e+06,46701,3.71452e+06
1.2298e+06,48028,3.72217e+06
1.22764e+06,48335,3.72403e+06
1.21916e+06,49523,3.73132e+06
1.2132e+06,50323,3.73647e+06
1.20994e+06,50747,3.73932e+06
1.20327e+06,48689,3.74804e+06
1.19687e+06,46669,3.75646e+06
1.19102e+06,44778,3.76421e+06
1.18783e+06,43728,3.76844e+06
1.18424e+06,42532,3.77323e+06
1.18325e+06,42200,3.77455e+06
1.18161e+06,41646,3.77674e+06
1.17395e+06,42462,3.78358e+06
1.16954e+06,42908,3.78756e+06
1.16535e+06,43316,3.79134e+06
1.15763e+06,44043,3.79832e+06
1.15308e+06,44444,3.80247e+06
1.1504e+06,44671,3.80493e+06
1.14873e+06,44809,3.80646e+06
1.14239e+06,45323,3.81229e+06
1.13561e+06,45839,3.81855e+06
1.1343e+06,45930,3.81976e+06
1.12865e+06,46323,3.82503e+06
1.12402e+06,46623,3.82936e+06
1.11611e+06,47105,3.83679e+06
1.10926e+06,47477,3.84327e+06
1.10757e+06,47558,3.84488e+06
1.10546e+06,47657,3.84688e+06
1.10073e+06,47871,3.8514e+06
1.09958e+06,47918,3.8525e+06
1.09827e+06,47970,3.85376e+06
1.09486e+06,48103,3.85704e+06
1.09178e+06,48214,3.86001e+06
1.08295e+06,48507,3.86855e+06
1.07436e+06,48724,3.87692e+06
1.06849e+06,48827,3.88268e+06
1.06064e+06,48922,3.89044e+06
1.05299e+06,48958,3.89805e+06
1.04839e+06,48947,3.90266e+06
1.0453e+06,48926,3.90578e+06
1.04167e+06,48890,3.90944e+06
1.03563e+06,48810,3.91556e+06
1.03009e+06,48703,3.92121e+06
1.02775e+06,48645,3.9236e+06
1.02639e+06,48609,3.925e+06
1.02574e+06,48590,3.92567e+06
1.02477e+06,48562,3.92667e+06
1.01897e+06,48388,3.93264e+06
1.01574e+06,48272,3.93598e+06
1.0132e+06,48172,3.93863e+06
1.01029e+06,48050,3.94166e+06
1.00949e+06,48015,3.94249e+06
1.00576e+06,47845,3.94639e+06
997670,47444,3.95489e+06
992698,47155,3.96015e+06
990462,47014,3.96252e+06
984940,46651,3.96841e+06
978640,46199,3.97516e+06
974673,45887,3.97944e+06
973407,45782,3.98081e+06
966323,45185,3.98849e+06
961406,44731,3.99386e+06
957398,44338,3.99826e+06
955810,44175,4.00001e+06
951573,43733,4.00469e+06
948380,43384,4.00824e+06
942234,42690,4.01508e+06
939378,42346,4.01828e+06
937629,42130,4.02024e+06
935311,41838,4.02285e+06
930173,41178,4.02865e+06
925770,40584,4.03365e+06
919110,39651,4.04124e+06
916891,39321,4.04379e+06
911066,38440,4.05049e+06
910208,38304,4.05149e+06
907630,37893,4.05448e+06
907597,37887,4.05452e+06
902749,37097,4.06015e+06
898081,36307,4.06561e+06
896357,36004,4.06764e+06
895691,35886,4.06842e+06
890683,34992,4.07432e+06
886638,34243,4.07912e+06
886370,34192,4.07944e+06
883920,33725,4.08236e+06
878627,32697,4.08868e+06
874966,31960,4.09307e+06
873904,31741,4.09436e+06
871538,31249,4.09721e+06
867297,30353,4.10235e+06
866852,30257,4.10289e+06
866382,30154,4.10346e+06
864581,29761,4.10566e+06
863184,29452,4.10736e+06
860177,28782,4.11104e+06
856571,27963,4.11547e+06
856003,27831,4.11616e+06
855782,27780,4.11644e+06
855554,27727,4.11672e+06
853599,27270,4.11913e+06
850328,26496,4.12318e+06
847521,25818,4.12666e+06
